,property_id,extra
0,Puri Kelapa,
1,Pondok Lulik,7
2,Puri Kelapa,
3,Puri Kelapa,
4,Puri Kelapa,
5,Villa Bagus,
6,Lebak,4
7,Batu Jaran Hill,3
8,BiuBiu Kumala,Villa SO1
9,Full Moon,4
10,Maha Ungasan,5 (Garden View)
11,Kubu N2,2
12,Dreamview Villa,
13,Villa Kama,1
14,Puri Kelapa,2 (Double)
15,Puri Kelapa,2 (Double)
16,Puri Kelapa,
17,Bingin Surf Left,
18,Rama Village,BARATA 2
19,Villa Papaya,
20,Kembang Kuning,
21,The Jepun,2
22,Jepun Sari,97 (Suite)
23,Padang,Padang View-3
24,Villa Toya,
25,Puri Kelapa,
26,Bingin Surf Left,
27,Rama Village,SHITA 1
28,Villa Arindra,
29,Villa Kama,2
30,Come Back,2
31,Red Salt,
32,9 Nelayan,Earth Cabin
33,The Jepun,1
34,Villa Bulan,
35,Jepun Sari,99 (Double)
36,Villa Kura Kura,
37,Villa Loluan,2
38,Kubu N2,2
39,Kakol Homestay,5
40,Villa Anak,
41,Villa Kama,4
42,Jepun Sari,88 (Twin)
43,The Jepun,1
44,Sunset Condotel Kuta,
45,Villa Kama,2
46,Villa Toya,
47,Villa Arindra,
48,NDBV Lot 3,
49,Kutuh Manak,3
50,Villa Kura Kura,
51,Bingin Surf Left,
52,Batu Jaran Hill,2
53,Padang,Padang View-4
54,Villa Kama,2
55,Sunset Condotel Kuta,
56,Villa Anak,
57,Kubu N2,2
58,Villa Idaman,2
59,Padang,Padang View-3
60,Kampung Jimba,Padang-Padang B
61,Puri Kelapa D1 (Twin),
62,Maha Ungasan,5 (Garden View)
63,Puri Kelapa,
64,Rama Village,LAKSAMANA 1
65,NDBV Lot 6,
66,Villa Kama,2
67,Villa Kama,1
68,Villa Idaman,2
69,D'Padang,4
70,Maha Ungasan,8 (Garden View)
71,Batu Jaran Hill,3
72,Kembang Kuning,
73,Kembang Kuning,
74,Villa Ayunan,
75,Villa Arindra,
76,Villa Cahaya,
77,Villa Cahaya,
78,Villa Cahaya,
79,Villa Bingin Luna,
80,Villa Idaman,2
81,Villa Idaman,2
82,Maha Ungasan,5 (Garden View)
83,Kembang Kuning,
84,Villa Idaman,1
85,Villa Idaman,2
86,Rama Village,BARATA 2
87,Maha Ungasan,4 (Garden View)
88,Villa Arindra,
89,Puri Kelapa,5 (double)
90,Villa Papaya,
91,Kubu N2,1
92,Puri Kelapa,A2 (double)
93,Puri Kelapa,A1 (twin)
94,Puri Kelapa,B2 ( Double)
95,Puri Kelapa,2 (Double)
96,Padang,Padang View-3
97,Sunset Condotel Kuta,
98,Puri Pandawa,Deluxe 3
99,Villa Toya,
100,Villa Kama,3
101,Kembang Kuning,
102,Villa Bening,
103,Villa 9 Nelayan,7
104,Villa 9 Nelayan,7
105,Maha Ungasan,7 (Garden View)
106,Maha Ungasan,8 (Garden View)
107,Maha Ungasan,9 (Garden View)
108,Maha Ungasan,10 (Garden View)
109,Padang,Padang View-1
110,Puri Kelapa,4 (double)
111,Villa Merdu,
112,Villa 9 Nelayan,
113,Villa Indigo,
114,Batu Jaran Hill,2
115,Batu Jaran Hill,1
116,Maha Ungasan,Garden Villa-1
117,Bingin Surf Left,
118,Villa Bingin Luna,
119,Kutuh Manak,9
120,Padang,Padang View-4
121,Puri Pandawa,Deluxe 1
122,Batu Jaran Hill,4
123,Villa Arindra,
124,Uluwatu Village House,
125,Bingin Surf Left,
126,Villa Purnama,
127,Lebak,3
128,Kubu N2,1
129,Villa Kama,2
130,Villa Papaya,
131,Villa Bagus,
132,D'Padang,2
133,Villa Idaman,1
134,Lebak,6
135,Villa Kama,1
136,Villa Bagus,
137,Villa Bagus,
138,Taman Bintang,Concrete Dbl (Legong)
139,Come Back,1
140,Puri Kelapa,A1 (twin)
141,Puri Kelapa,B2 ( Double)
142,Puri Kelapa,11 (twin)
143,Puri Kelapa,10 (double)
144,Puri Kelapa,2 (Double)
145,Puri Kelapa,2 (Double)
146,9 Nelayan,Earth Cabin
147,Villa Kura Kura,
148,9 Nelayan,Earth Cabin
149,Kutuh Manak,2
150,Villa Alang Alang,
151,Batu Jaran Hill,4
152,Villa Idaman,2
153,Puri Kelapa,
154,D'Padang,8
155,D'Padang,8
156,Pondok Lulik,4
157,Pondok Lulik,3
158,Maha Ungasan,4 (Garden View)
159,Tirtha Canggu Suites,
160,Batu Jaran Hill,Std
161,Villa Bija,Apartment
162,Rama Village,SATRUGNA 1
163,Full Moon,10
164,Kubu N2,1
165,Puri Kelapa,5 (double)
166,Puri Kelapa,2 (double)
167,NDBV Lot 3,
168,Kutuh Manak,4
169,Villa Idaman,1
170,Villa Bingin Luna,
171,Villa Kama,3
172,Lebak,6
173,Puri Kelapa C1 (Double),
174,Villa Alang Alang,
175,Villa Cerita Indah,
176,Kutuh Manak,1
177,Maha Ungasan,5 (Garden View)
178,Lebak,4
179,Villa Idaman,2
180,D'Padang,Wood Bungalow 3
181,Pondok Lulik,2
182,Maha Ungasan,10 (Garden View)
183,Maha Ungasan,9 (Garden View)
184,Maha Ungasan,8 (Garden View)
185,Maha Ungasan,7 (Garden View)
186,Puri Kelapa,8 (Twin)
187,Kubu N2,1
188,Bingin Surf Left,
189,Sunset Condotel Kuta,
190,D'Padang,4
191,Villa Kama,1
192,Villa Kama,4
193,Driftwood,
194,Puri Kelapa,2 (Double)
195,Puri Kelapa,2 (Double)
196,Puri Kelapa,2 (Double)
197,Villa Arindra,
198,D' Padang,Rooms
199,Padang,Padang View-3
200,Rama Village,SHITA 1
201,D'Padang,10
202,Bagong Guest House,6
203,Villa Kama,3
204,Bingin Jepun,
205,Villa Shanti,3BR
206,Bingin Surf Left,2 bedrooms
207,Villa Kama,1
208,Villa Toya,
209,Tirtha Canggu Suites,
210,Lebak,1
211,Batu Jaran Hill,7
212,Kutuh Manak,1
213,Maha Ungasan,Garden Villa-1
214,Bingin Surf Left,
215,9 Nelayan,Wood Cabin
216,Kubu N2,1
217,Villa Kama,3
218,Kubu N2,1
219,Batu Jaran Hill,1
220,Batu Jaran Hill,6
221,Villa Zen,
222,Villa Loluan,2
223,9 Nelayan,Wood Cabin
224,Villa Tortoise,Room 1
225,D'Padang,4
226,Batu Jaran Hill,2
227,Villa Bulan,
228,Batu Jaran Hill,1
229,Villa Bening,
230,Sunset Condotel Kuta,
231,Villa Shanti,3BR
232,Villa Idaman,2
233,Villa Idaman,1
234,Villa Toya,
235,Kakol Homestay,4
236,Jepun Sari,93 (Double)
237,Padang,Padang View-4
238,Villa Diana,
239,Villa Anak,
240,Puri Kelapa,1 (Twin)
241,Puri Pandawa,Suite 1
242,Villa Kama,3
243,Villa Kama,1
244,NDBV Lot 3,
245,Come Back,2
246,Puri Kelapa,B2 ( Double)
247,Kubu N2,1
248,Kubu N2,1
249,Villa Idaman,1
250,Villa Idaman,2
251,Villa Asmara,
252,Puri Kelapa,2 (Double)
253,Puri Kelapa,2 (Double)
254,Puri Kelapa,2 (Double)
255,Villa Bening,
256,Lebak,5
257,Villa Idaman,1
258,Villa Anak,
259,Villa Indigo,
260,Puri Pandawa,Deluxe 1
261,Pondok Lulik,4
262,Jepun Sari,89 (Twin)
263,Uluwatu Village House,
264,Villa Bingin Luna,
265,Kubu N2,1
266,Villa Bingin Luna,
267,Padang,Padang View-3
268,Puri Kelapa B1 (Twin),
269,Bagong Guest House,3 ( Twin )
270,Kakol Homestay,7
271,Bagong Guest House,2
272,Bagong Guest House,3 ( Twin )
273,Bagong Guest House,4
274,Bagong Guest House,5
275,Bagong Guest House,6
276,Bagong Guest House,1
277,Villa Kama,3
278,D'Padang,8
279,Come Back,7
280,Batu Jaran Hill,3
281,Bingin Surf Left,
282,Batu Jaran Hill,3
283,Kutuh Manak,7
284,Villa Idaman,1
285,Puri Pandawa,Suite 1
286,D'Padang,1
287,Puri Kelapa,A1 (twin)
288,Batu Jaran Hill,1
289,Villa Idaman,1
290,Villa Idaman,2
291,Villa Idaman,2
292,Villa Idaman,1
293,Puri Kelapa,2 (Double)
294,Villa Tortoise,Room 1
295,Villa Kama,3
296,Kubu N2,2
297,Batu Jaran Hill,8
298,Villa Toya,
299,Batu Jaran Hill,6
300,Villa Anak,
301,NDBV Lot 6,
302,Kutuh Manak,1
303,Villa Idaman,1
304,Villa Toya,
305,Bingin Surf Left,
306,Tirtha Canggu Suites,
307,Villa Loluan,2
308,Lebak Residence,
309,Come Back,9
310,Villa Papaya,
311,Puri Kelapa B2( Double),
312,Kutuh Manak,
313,Puri Kelapa,
314,Villa Arindra,
315,Casa Putih,
316,Red Salt,
317,Kembang Kuning,
318,Come Back,1
319,Villa Ayunan,
320,NDBV Lot 3,
321,Villa Tortoise,Room 2
322,Kutuh Manak,1
323,Villa Idaman,1
324,Maha Ungasan,3 (Garden View)
325,Rama Village,BARATA 2
326,Batu Jaran Hill,2
327,Villa Indigo,
328,Batu Jaran Hill,3
329,Puri Kelapa B2( Double),
330,Villa Purnama,
331,Villa Loluan,1
332,Batu Jaran Hill,2
333,Puri Kelapa,1 (Twin)
334,Puri Kelapa,7 (double)
335,Kutuh Manak,1
336,Villa Kama,2
337,Batu Jaran Hill,1
338,Villa Bening,
339,Buana,103
340,Villa Arindra,
341,Villa Arindra,
342,Batu Jaran Hill,1
343,Villa Bening,
344,Villa Bagus,
345,Jepun Sari,95 (Double)
346,Rama Village,LAKSAMANA 1
347,Batu Jaran Hill,7
348,Bingin Surf Left,
349,Canggu Beach Apartment,
350,NDBV Lot 3,
351,Puri Kelapa,7 (Double)
352,Kutuh Manak,5
353,Villa Idaman,2
354,Kutuh Manak,9
355,NDBV Lot 3,
356,Villa Idaman,1
357,Villa Idaman,2
358,Jepun Sari,92 (Double)
359,Puri Kelapa,2 (Double)
360,Chicken Nugget,
361,Batu Jaran Hill,2 bedrooms
362,Villa Kura Kura,
363,Lebak Residence,
364,Bingin Jepun,
365,Pondok Lulik,3
366,Padang,Padang View-2
367,Batu Jaran Hill,1
368,Batu Jaran Hill,1
369,Villa Bagus,
370,Batu Jaran Hill,2
371,Maha Ungasan,
372,Come Back,8
373,Puri Kelapa,A2 (double)
374,Puri Kelapa,A1 (twin)
375,Bingin Surf Left,
376,Puri Kelapa,2 (double)
377,Bingin Surf Left,
378,Puri Kelapa,A1 (twin)
379,Puri Kelapa,A1 (twin)
380,Puri Kelapa,2 (Double)
381,Bingin Surf Left,
382,Bingin Surf Left,
383,Villa Idaman,2
384,D'Padang,3
385,D'Padang,3
386,Villa Bening,
387,Villa Kura Kura,
388,Villa Kura Kura,
389,Kubu N2,1
390,Puri Pandawa,Deluxe 2
391,Jepun Sari,94 (Double)
392,Padang,Padang View-1
393,Batu Jaran Hill,2
394,D'Padang,1
395,NDBV Lot 3,
396,D'Padang,1
397,Batu Jaran Hill,1
398,Villa Bagus,
399,Puri Kelapa,
400,Rama Village,LAKSAMANA 1
401,Villa Loluan,1
402,Padang,Padang View-1
403,Batu Jaran Hill,9
404,Puri Kelapa,
405,Pondok Lulik,1
406,Bingin Surf Left,
407,Maha Ungasan,
408,Bingin Surf Left,
409,Villa Bening,
410,Villa Bingin Luna,
411,Villa Cahaya,
412,Villa Cahaya,
413,Villa Bingin Luna,
414,NDBV Lot 3,
415,Villa Bingin Luna,
416,NDBV Lot 3,
417,Villa Kura Kura,
418,Blue Garden,2 (Double)
419,Villa Toya,
420,Rama Village,LAKSAMANA 1
421,Kubu N2,1
422,Villa Istana Willy,
423,Padang,Padang View-3
424,Padang,Padang View-4
425,Sunset Condotel Kuta,
426,Padang,Padang View-2
427,Bali Mynah,
428,Padang,Padang View-1
429,Villa 9 Nelayan,3
430,Redsalt,Lumbung
431,Padang,Padang View-3
432,Kakol Homestay,3
433,Bingin Surf Left,
434,Bingin Surf Left,
435,Villa Kura Kura,
436,Asri Guest House,3
437,Dinar Hills B,Standard
438,Villa Zen,
439,Come Back,7
440,Kubu N2,2
441,Bagong Guest House,6
442,Villa Indigo,
443,Puri Kelapa B2( Double),
444,Puri Pandawa,Deluxe 1
445,Villa Tortoise,Room 1
446,Tirtha Canggu Suites,
447,NDBV Lot 6,
448,Bingin Surf Left,
449,Bingin Surf Left,
450,Padang,Padang View-3
451,Villa Tortoise,Room 2
452,Come Back,5
453,Kubu N2,2
454,Kembang Kuning,
455,Puri Sabina,Standard
456,Puri Sabina,Standard
457,The Jepun,4
458,Villa Arindra,4
459,Villa Idaman,Whole Villa
460,Bale Tudor,Cassandra 2
461,Puri Kelapa,D2 (double)
462,Uluwatu Village House,Bungalow 2
463,Kembang Kuning,10
464,Kakol Guesthouse,2
465,Me Villa,B ( 1BR )
466,Uluwatu Village House,Bungalow 5
467,Omah Gerjen 29,3A
468,Uluwatu Village House,Bungalow 2
469,Yoga Searcher,3
470,Villa Tortoise,Room 2 2nd listing
471,Dinar Hills,B (Standard)
472,Uluwatu Cottages,25 (Suite)
473,Me Villa,E ( 1BR )
474,9 Nelayan,Water Cabin
475,Rama Village,
476,Puri Kelapa,10
477,Villa Arindra,4
478,Batu Jaran Hill,02
479,Tirtha Canggu Suites,03
480,Kubu Nyang Nyang,1
481,Me Villa,C ( 1BR )
482,Villa 9 Nelayan,01
483,Taman Bintang,
484,Kubu Nyang Nyang,1
485,Pondok Lulik,Wooden
486,Villa Hali Bali,2 Bedroom
487,Villa Cerita Indah,
488,Batu Jaran Hill,08
489,Tirtha Canggu Suites,04
490,Uluwatu Village House,Bungalow 2
491,The Gong,222 (Double)
492,Batu Jaran Hill,06
493,Kembang Kuning,07
494,Wabisabi,3 (twin)
495,The Jepun,3
496,The Gong,219 (Double)
497,Villa Idaman,1
498,Puri Kelapa,01 (twin)
499,Villa Arindra,1
500,The Landmark 29,02
501,The Gong,220 (Double)
502,Uluwatu Village House,Bungalow 2
503,Villa Purnama 2nd listing,
504,Uluwatu Village House,Bungalow 4
505,Sannyas,4 (Double + Bath)
506,Uluwatu Village House,Bungalow 4
507,Wabisabi,2 (double)
508,The Gong,Double 1
509,The Gong,222 (Double)
510,Wabisabi,Entire House
511,LJBB Nina,
512,Wabisabi,1 (double)
513,The Gong,216 (Double)
514,Puri Kelapa,11 (twin)
515,Wabisabi,3 (twin)
516,Wabisabi,3 (twin)
517,The Gong,216 (Double)
518,Wabisabi,3 (twin)
519,The Gong,220 (Double)
520,Bali Mynah New Villa,1 3rd listing
521,The Gong,101 (Twin)
522,Kutuh Manak,01
523,Me Villa,D ( 1BR )
524,Puri Kelapa,Family 1
525,The Gong,224 (Double Ocean View)
526,Tirtha Canggu Suites,08
527,Kembang Kuning,09
528,Me Villa,B ( 1BR )
529,Rama Village,
530,Villa Rama,
531,The Jepun,4
532,Kembang Kuning,02
533,Villa Idaman,1
534,Villa Shanti 3BR,
535,Kubu Nyang Nyang,2
536,Dinar Hills,A (Suite)
537,The Alchemist,Romeo
538,Moyo & Son Surf Stay,102-Double
539,D'Padang,10
540,The Gong,216 (Double)
541,Villa Idaman,2
542,Teges Asri,1
543,Batu Jaran Hill,10
544,Kubu Nyang Nyang,4
545,Yoga Searcher,3
546,The Landmark 20,03
547,NDBV Lot 3,
548,Raka & Rai Guesthouse,6
549,Bingin Ombak Standard,2
550,Uluwatu Village House,Bungalow 1
551,Bale Tudor,Cassandra 1
552,Uluwatu Village House,Bungalow 1
553,Bingin Ombak Standard,2
554,Melin Inn,1A
555,D'Padang,05
556,Moyo & Son Surf Stay,301-Double
557,Tirtha Canggu Suites,04
558,Melin Inn,3 ( Family )
559,Villa Kanha,
560,Villa Arindra,3
561,Villa Mediapura,J
562,LJBB Bungalow,
563,Villa Idaman,2
564,Taman Asih,Deluxe Double 18
565,Teges Asri,2
566,Batu Jaran Hill,03
567,Puri Kelapa,11 (twin)
568,Lebak Guesthouse,6
569,Batu Jaran Hill,01 (kitchen)
570,LJBB Nina,
571,Me Villa,D ( 1BR )
572,Puri Kelapa,12
573,Puri Kelapa,01 (twin)
574,Me Villa,A ( 2BR )
575,Villa Idaman,2
576,Padang Padang View,4
577,Puri Kelapa,12
578,Lebak Guesthouse,6
579,Kubu Nyang Nyang,2
580,Rumah Teteh,
581,LJBB Bungalow,
582,Villa Hali Bali,1 Bedroom
583,Puri Kelapa,12
584,Puri Kelapa,04
585,Dinar Hills,B (Standard)
586,Villa Kanha,
587,LJBB Nina,
588,Villa Kama,1
589,Villa Mediapura,J
590,Raka & Rai Guesthouse,5
591,NDBV Lot 3,
592,Villa Bulan,
593,Kubu Nyang Nyang,2
594,Padang Padang View,1
595,Villa Idaman,2
596,Villa Rama,
597,Kusuma Guest House,3 ( Family )
