onboard,unit,area,type,status,property,added,package,room,design,proximity,life_support,swimming_pool,capacity,service
7/2/2018,Omah Cening,Yogyakarta,House,Partner,Omah Cening,,Allocation,1,Basic,5-10 minutes drive to attraction,Walk to supermarket/restaurant,No pool,6,Onsite staff
7/2/2018,PinkCoco Gili Air - Suite Del Mar,Gili Air,Resort,Partner,PinkCoco Gili Air,Bastian,Partnership,,Modern comfort,Walking distance to attraction,Drive to supermarket/restaurant,Share pool,2,Onsite staff
7/2/2018,PinkCoco Gili Air - Limas,Gili Air,Resort,Partner,PinkCoco Gili Air,Bastian,Partnership,,Modern comfort,Walking distance to attraction,Drive to supermarket/restaurant,Share pool,2,Onsite staff
7/2/2018,PinkCoco Gili Air - Gladak,Gili Air,Resort,Partner,PinkCoco Gili Air,Bastian,Partnership,,Modern comfort,Walking distance to attraction,Drive to supermarket/restaurant,Share pool,2,Onsite staff
7/2/2018,PinkCoco Gili Air - Grande,Gili Air,Resort,Partner,PinkCoco Gili Air,Bastian,Partnership,,Modern comfort,Walking distance to attraction,Drive to supermarket/restaurant,Share pool,2,Onsite staff
7/2/2018,PinkCoco Gili Air - Cocoon,Gili Air,Resort,Partner,PinkCoco Gili Air,Bastian,Partnership,,Modern comfort,Walking distance to attraction,Drive to supermarket/restaurant,Share pool,2,Onsite staff
7/2/2018,PinkCoco GT - Grand Deluxe Room,Gili Trawangan,Resort,Partner,PinkCoco Gili Trawangan,Bastian,Partnership,,Modern comfort,Walking distance to attraction,Drive to supermarket/restaurant,Share pool,2,Onsite staff
7/2/2018,PinkCoco GT - Deluxe Room,Gili Trawangan,Resort,Partner,PinkCoco Gili Trawangan,Bastian,Partnership,,Modern comfort,Walking distance to attraction,Drive to supermarket/restaurant,Share pool,2,Onsite staff
7/2/2018,PinkCoco Bali - Penthouse,Padang Padang,Resort,Partner,PinkCoco Bali,Bastian,Partnership,,Modern comfort,Walking distance to attraction,Drive to supermarket/restaurant,Share pool,2,Onsite staff
7/2/2018,PinkCoco Bali - Panoramic,Padang Padang,Resort,Partner,PinkCoco Bali,Bastian,Partnership,,Modern comfort,Walking distance to attraction,Drive to supermarket/restaurant,Share pool,2,Onsite staff
7/2/2018,PinkCoco Bali - Garden,Padang Padang,Resort,Partner,PinkCoco Bali,Bastian,Partnership,,Modern comfort,Walking distance to attraction,Drive to supermarket/restaurant,Share pool,2,Onsite staff
7/2/2018,PinkCoco Bali - Deluxe Room,Padang Padang,Resort,Partner,PinkCoco Bali,Bastian,Partnership,,Modern comfort,Walking distance to attraction,Drive to supermarket/restaurant,Share pool,2,Onsite staff
7/2/2018,PinkCoco Bali - Courtyard,Padang Padang,Resort,Partner,PinkCoco Bali,Bastian,Partnership,,Modern comfort,Walking distance to attraction,Drive to supermarket/restaurant,Share pool,2,Onsite staff
7/2/2018,Villa Lulu,Canggu,House,Partner,Villa Lulu,Bastian,Partnership,,Modern comfort,Walking distance to attraction,No nearby shops,Private pool,2,Self service
6/24/2018,Griya Langen - 6BR,Yogyakarta,Resort,Partner,Griya Langen,Nungki,Allocation,6,Basic,Walking distance to attraction,Drive to supermarket/restaurant,No pool,16,Onsite staff
6/24/2018,Watusaman - Ground Floor 5BR,Yogyakarta,Resort,Partner,Watusaman,Nungki,Allocation,5,Basic,Walking distance to attraction,Drive to supermarket/restaurant,Share pool,12,Onsite staff
6/22/2018,Homestay Tembi - Family Room Bugis,Yogyakarta,Resort,Partner,Homestay Tembi,Nungki,Allocation,1,Unique,Walking distance to attraction,Drive to supermarket/restaurant,No pool,4,Onsite staff
6/22/2018,Homestay Tembi - Family Room Suyawijaya,Yogyakarta,Resort,Partner,Homestay Tembi,Nungki,Allocation,1,Unique,Walking distance to attraction,Drive to supermarket/restaurant,No pool,4,Onsite staff
6/22/2018,Homestay Tembi - Family Room Prawiratama,Yogyakarta,Resort,Partner,Homestay Tembi,Nungki,Allocation,1,Unique,Walking distance to attraction,Drive to supermarket/restaurant,No pool,4,Onsite staff
6/22/2018,Homestay Tembi - Family Room Sadewa,Yogyakarta,Resort,Partner,Homestay Tembi,Nungki,Allocation,1,Unique,Walking distance to attraction,Drive to supermarket/restaurant,No pool,4,Onsite staff
6/22/2018,Homestay Tembi - Standard Room Jogokarya,Yogyakarta,Resort,Partner,Homestay Tembi,Nungki,Allocation,1,Unique,Walking distance to attraction,Drive to supermarket/restaurant,No pool,2,Onsite staff
6/22/2018,Homestay Tembi - Standard Room Mangkuyuda,Yogyakarta,Resort,Partner,Homestay Tembi,Nungki,Allocation,1,Unique,Walking distance to attraction,Drive to supermarket/restaurant,No pool,2,Onsite staff
6/22/2018,Homestay Tembi - Standard Room Brahmana,Yogyakarta,Resort,Partner,Homestay Tembi,Nungki,Allocation,1,Unique,Walking distance to attraction,Drive to supermarket/restaurant,No pool,2,Onsite staff
6/22/2018,Wisma Eyang Sosro - 3BR,Yogyakarta,Resort,Partner,Wisma Eyang Sosro,Nungki,Allocation,3,Luxury,5-10 minutes drive to attraction,Walk to supermarket/restaurant,No pool,6,Onsite staff
6/22/2018,Rajaklana - Luxury Stone House,Yogyakarta,Resort,Partner,Rajaklana,Nungki,Allocation,1,Unique,Far from center of attraction,No nearby shops,Share pool,2,Onsite staff
6/12/2018,Double D - 1,Canggu,Guesthouse,Partner,Double D Guest House,Bastian,Allocation,1,,,,,,
6/12/2018,Double D - 2,Canggu,Guesthouse,Partner,Double D Guest House,Bastian,Allocation,1,,,,,,
6/12/2018,Double D - 3,Canggu,Guesthouse,Partner,Double D Guest House,Bastian,Allocation,1,,,,,,
6/12/2018,Double D - 4,Canggu,Guesthouse,Partner,Double D Guest House,Bastian,Allocation,1,,,,,,
6/12/2018,Double D - 4br,Canggu,Guesthouse,Partner,Double D Guest House,Bastian,Allocation,4,,,,,,
6/5/2018,Joglo Agung Standard Room ,Yogyakarta,Guesthouse,Partner,Joglo Agung,Nungki,Exclusive,1,,,,,,
6/5/2018,Joglo Agung Family Room A,Yogyakarta,Guesthouse,Partner,Joglo Agung,Nungki,Exclusive,1,,,,,,
6/3/2018,Coffee Network Villa,Jimbaran,Villa,Partner,Coffee Network,Bastian,Partnership,1,,,,,,
6/3/2018,The Miracle Villas,Nusa Dua,Villa,Non Partner,The Miracle Villas,Wayana,Allocation,2,,,,,,
6/3/2018,Villa Shiva - Serenity,Bingin,Villa,Partner,Villa Shiva,Wayana,Exclusive,2,,,,,,
6/3/2018,Villa Shiva - Bali,Bingin,Villa,Partner,Villa Shiva,Wayana,Exclusive,2,,,,,,
5/31/2018,D'Java Citra Ayu,Yogyakarta,Guesthouse,Non Partner,D'Java Citra Ayu,Nungki,Negotiable,3,,,,,,
5/31/2018,D'Java Omah Sambilegi,Yogyakarta,Guesthouse,Partner,D'Java Omah Sambilegi,Nungki,Negotiable,,,,,,,
5/2/2018,GK Gamat Garden-1,Nusa Penida,Guesthouse,Non Partner,GK Gamat Garden,Wayana,Negotiable,1,,,,,,
5/2/2018,GK Gamat Garden-2,Nusa Penida,Guesthouse,Non Partner,GK Gamat Garden,Wayana,Negotiable,1,,,,,,
5/2/2018,GK Gamat Garden-3,Nusa Penida,Guesthouse,Non Partner,GK Gamat Garden,Wayana,Negotiable,1,,,,,,
5/2/2018,GK Gamat Garden-4,Nusa Penida,Guesthouse,Non Partner,GK Gamat Garden,Wayana,Negotiable,1,,,,,,
5/2/2018,GK Gamat Garden ,Nusa Penida,Guesthouse,Non Partner,GK Gamat Garden,Wayana,Negotiable,1,,,,,,
5/2/2018,Batan Sabo - 1,Nusa Penida,Guesthouse,Partner,Batan Sabo,Wayana,Negotiable,1,,,,,,
5/2/2018,Batan Sabo - 2,Nusa Penida,Guesthouse,Partner,Batan Sabo,Wayana,Negotiable,1,,,,,,
5/2/2018,Batan Sabo - 3,Nusa Penida,Guesthouse,Partner,Batan Sabo,Wayana,Negotiable,1,,,,,,
5/2/2018,Batan Sabo - 4,Nusa Penida,Guesthouse,Partner,Batan Sabo,Wayana,Negotiable,1,,,,,,
5/2/2018,Batan Sabo - 5,Nusa Penida,Guesthouse,Partner,Batan Sabo,Wayana,Negotiable,1,,,,,,
5/2/2018,Batan Sabo - 6,Nusa Penida,Guesthouse,Partner,Batan Sabo,Wayana,Negotiable,1,,,,,,
5/2/2018,Ayu Laba - Room Bawah #1,Nusa Penida,Guesthouse,Partner,Ayu Laba,Wayana,Negotiable,1,,,,,,
5/2/2018,Ayu Laba - Room Bawah Twin #2,Nusa Penida,Guesthouse,Partner,Ayu Laba,Wayana,Negotiable,1,,,,,,
5/2/2018,Ayu Laba - Room Bawah #3,Nusa Penida,Guesthouse,Partner,Ayu Laba,Wayana,Negotiable,1,,,,,,
5/2/2018,Ayu Laba - Room Bawah #4,Nusa Penida,Guesthouse,Partner,Ayu Laba,Wayana,Negotiable,1,,,,,,
5/2/2018,Ayu Laba - Room Bawah twin #5,Nusa Penida,Guesthouse,Partner,Ayu Laba,Wayana,Negotiable,1,,,,,,
5/2/2018,Ayu Laba - Room Bawah #6,Nusa Penida,Guesthouse,Partner,Ayu Laba,Wayana,Negotiable,1,,,,,,
5/2/2018,Ayu Laba - Lumbung Atas #7,Nusa Penida,Guesthouse,Partner,Ayu Laba,Wayana,Negotiable,1,,,,,,
5/2/2018,Ayu Laba - Lumbung Atas #8,Nusa Penida,Guesthouse,Partner,Ayu Laba,Wayana,Negotiable,1,,,,,,
5/2/2018,Ayu Laba - Lumbung Atas #9,Nusa Penida,Guesthouse,Partner,Ayu Laba,Wayana,Negotiable,1,,,,,,
5/2/2018,Ayu Laba - Lumbung Atas #10,Nusa Penida,Guesthouse,Partner,Ayu Laba,Wayana,Negotiable,1,,,,,,
5/2/2018,Ayu Laba - Rumah Kayu  Bawah  #11,Nusa Penida,Guesthouse,Partner,Ayu Laba,Wayana,Negotiable,1,,,,,,
5/2/2018,Ayu Laba - Rumah Kayu  #12,Nusa Penida,Guesthouse,Partner,Ayu Laba,Wayana,Negotiable,1,,,,,,
5/2/2018,Ayu Laba - Rumah Kayu,Nusa Penida,Guesthouse,Partner,Ayu Laba,Wayana,Negotiable,1,,,,,,
,2l Redsalt Two Lumbungs,Canggu,Resort,Partner,Redsalt,,Negotiable,2,,,,,,
,808 Residence ,Canggu,Resort,Non Partner,808 Residence ,,,1,,,,,,
,8BR Kakol (the whole villa),Canggu,Guesthouse,Partner,Kakol Guesthouse,,,8,,,,,,
,Agung Homestay - 1,Canggu,Guesthouse,Partner,Agung Homestay,,,1,,,,,,
,Agung Homestay - 2,Canggu,Guesthouse,Partner,Agung Homestay,,,1,,,,,,
,Agung Homestay - 3,Canggu,Guesthouse,Partner,Agung Homestay,,,1,,,,,,
,Ambalama - GV 1,Cemagi,Villa,Partner,Villa Ambalama,,,1,,,,,,
,Ambalama - GV 2,Cemagi,Villa,Partner,Villa Ambalama,,,1,,,,,,
,Ambalama - GV 3,Cemagi,Villa,Partner,Villa Ambalama,,,1,,,,,,
,Ambalama - GV 4,Cemagi,Villa,Partner,Villa Ambalama,,,1,,,,,,
,Ambalama - LG 7,Cemagi,Villa,Partner,Villa Ambalama,,,1,,,,,,
,Ambalama - MV 5,Cemagi,Villa,Partner,Villa Ambalama,,,1,,,,,,
,Ambalama - MV 6,Cemagi,Villa,Partner,Villa Ambalama,,,1,,,,,,
,Amelle Exc - 1,Canggu,Guesthouse,Non Partner,Villa Amelle,,,1,,,,,,
,Amelle Exc - 2,Canggu,Guesthouse,Non Partner,Villa Amelle,,,1,,,,,,
,Amelle Res - 1,Canggu,Guesthouse,Non Partner,Villa Amelle,,,1,,,,,,
,Amelle Res - 2,Canggu,Guesthouse,Non Partner,Villa Amelle,,,1,,,,,,
,Amelle Res - 3,Canggu,Guesthouse,Non Partner,Villa Amelle,,,1,,,,,,
,Amelle Res - 4,Canggu,Guesthouse,Non Partner,Villa Amelle,,,1,,,,,,
,Amelle Res - 5,Canggu,Guesthouse,Non Partner,Villa Amelle,,,1,,,,,,
,Amelle Res - 6,Canggu,Guesthouse,Non Partner,Villa Amelle,,,1,,,,,,
,Amelle Res - 7,Canggu,Guesthouse,Non Partner,Villa Amelle,,,1,,,,,,
,Amelle Suite - 1,Canggu,Guesthouse,Non Partner,Villa Amelle,,,1,,,,,,
,Amelle Suite - 2,Canggu,Guesthouse,Non Partner,Villa Amelle,,,1,,,,,,
,Amelle Suite - 3,Canggu,Guesthouse,Non Partner,Villa Amelle,,,1,,,,,,
,Amelle Suite - 4,Canggu,Guesthouse,Non Partner,Villa Amelle,,,1,,,,,,
,Amelle Suite - 5,Canggu,Guesthouse,Non Partner,Villa Amelle,,,1,,,,,,
,Amelle Villa 1 BR - 1,Canggu,Guesthouse,Non Partner,Villa Amelle,,,1,,,,,,
,Amelle Villa 1 BR - 2,Canggu,Guesthouse,Non Partner,Villa Amelle,,,1,,,,,,
,Amelle Villa 2 BR - 1,Canggu,Guesthouse,Non Partner,Villa Amelle,,,2,,,,,,
,Amelle Villa 2 BR - 2,Canggu,Guesthouse,Non Partner,Villa Amelle,,,2,,,,,,
,Amelle Villa 2 BR - 3,Canggu,Guesthouse,Non Partner,Villa Amelle,,,2,,,,,,
,Amelle Villa 2 BR - 4,Canggu,Guesthouse,Non Partner,Villa Amelle,,,2,,,,,,
,Arca Apartment,Kuta,Guesthouse,Non Partner,?,,,1,,,,,,
,Arca Bungalow - Standard,Kuta,Guesthouse,Non Partner,?,,,1,,,,,,
,Arca Bungalow - Suite,Kuta,Guesthouse,Non Partner,?,,,1,,,,,,
,Arindra 4BR (the whole villa),Jimbaran,Guesthouse,Partner,Villa Arindra,,,4,,,,,,
,Armaya Homestay - 1,Uluwatu,Guesthouse,Non-Partner,Armaya Homestay,,,1,,,,,,
,Armaya Homestay - 2,Uluwatu,Guesthouse,Non-Partner,Armaya Homestay,,,1,,,,,,
,Armaya Homestay - 3,Uluwatu,Guesthouse,Non-Partner,Armaya Homestay,,,1,,,,,,
,Asri Guest House - 1,Canggu,Guesthouse,Partner,Asri Guest House,,,1,,,,,,
,Asri Guest House - 2,Canggu,Guesthouse,Partner,Asri Guest House,,,1,,,,,,
,Asri Guest House - 3,Canggu,Guesthouse,Partner,Asri Guest House,,,1,,,,,,
,Asri Guest House - 4,Canggu,Guesthouse,Partner,Asri Guest House,,,1,,,,,,
,Asri Guest House - 5,Canggu,Guesthouse,Partner,Asri Guest House,,,1,,,,,,
,Asri Guest House - 6,Canggu,Guesthouse,Partner,Asri Guest House,,,1,,,,,,
,Asri Guest House - 7,Canggu,Guesthouse,Partner,Asri Guest House,,,1,,,,,,
,Avisara,Nusa Dua,Guesthouse,Non Partner,Avisara Guesthouse,,,1,,,,,,
,Bagong Guesthouse,Canggu,Guesthouse,Partner ,Bagong Guesthouse,,,1,,,,,,
,Bagong Guesthouse - 1,Canggu,Guesthouse,Partner ,Bagong Guesthouse,,,1,,,,,,
,Bagong Guesthouse - 2,Canggu,Guesthouse,Partner ,Bagong Guesthouse,,,1,,,,,,
,Bagong Guesthouse - 2BR,Canggu,Guesthouse,Partner,Bagong Guesthouse,,,2,,,,,,
,Bagong Guesthouse - 3,Canggu,Guesthouse,Partner ,Bagong Guesthouse,,,1,,,,,,
,Bagong Guesthouse - 4,Canggu,Guesthouse,Partner ,Bagong Guesthouse,,,1,,,,,,
,Bagong Guesthouse - 5,Canggu,Guesthouse,Partner ,Bagong Guesthouse,,,1,,,,,,
,Bagong Guesthouse - 6,Canggu,Guesthouse,Partner ,Bagong Guesthouse,,,1,,,,,,
,Bagong Guesthouse - 6BR,Canggu,Guesthouse,Partner,Bagong Guesthouse,,,16,,,,,,
,Balangan Cottages - Bungalow 1,Balangan,Guesthouse,Partner,Balangan Cottages,,,1,,,,,,
,Balangan Cottages - Bungalow 2,Balangan,Guesthouse,Partner,Balangan Cottages,,,1,,,,,,
,Balangan Sleep Well,Balangan,Villa,Partner,Balangan Sleep Well,,,2,,,,,,
,Bali Bohemia,Ubud,Resort,Non Partner,Bali Bohemia,,,1,,,,,,
,Bali Bohemia - Loft 1,Ubud,Resort,Non Partner,Bali Bohemia,,,1,,,,,,
,Bali Mynah - Double 1,Balangan,Guesthouse,Partner,Bali Mynah,,,1,,,,,,
,Bali Mynah - Double 2,Balangan,Guesthouse,Partner,Bali Mynah,,,1,,,,,,
,Bali Mynah - Double 3,Balangan,Guesthouse,Partner,Bali Mynah,,,1,,,,,,
,Bali Mynah - Twin 1,Balangan,Guesthouse,Partner,Bali Mynah,,,1,,,,,,
,Bali Mynah - Twin 2,Balangan,Guesthouse,Partner,Bali Mynah,,,1,,,,,,
,Bali Mynah - Twin 3,Balangan,Guesthouse,Partner,Bali Mynah,,,1,,,,,,
,Bali Mynah New Villa - 1,Balangan,Villa,Partner,Bali Mynah,,,1,,,,,,
,Bali Mynah New Villa - 2,Balangan,Villa,Partner,Bali Mynah,,,1,,,,,,
,Bali Mynah Old Villa - 1,Balangan,Villa,Partner,Bali Mynah,,,1,,,,,,
,Bali Mynah Old Villa - 2,Balangan,Villa,Partner,Bali Mynah,,,1,,,,,,
