listing_id,listing_onboard_date,listing_url,listing_name,listing_account_owner,listing_account_bv,listing_status,listing_instant_book,listing_remark,unit_id,profile_id,employee_id
,2018-07-03,https://www.airbnb.com/rooms/26545661,"Sunny, Warm Bohemian Villa with Tropical Vibe",,,1.0,1.0,1.0,UN1669,PA0001,E0011
,2018-07-02,https://www.airbnb.com/rooms/26502455,"Lovely, Tranquil Villa with Spacious Garden",,,1.0,1.0,1.0,UN0014,PA0009,E0011
,2018-07-01,https://www.airbnb.com/rooms/26481412,Urban Style Wood and Brick Cabin in an Art Gallery,,,1.0,1.0,1.0,UN1600,PA0017,E0003
,2018-07-01,https://www.airbnb.com/rooms/9411487,Seaside stone cabin stroll to beach,8612,744,1.0,1.0,1.0,UN0464,PA0010,E0003
,2018-07-01,https://www.airbnb.com/rooms/26476591,Living in Warm Elegant Villa with Ocean View,6056,744,1.0,1.0,1.0,UN0000,PA0010,E0011
,2018-06-30,https://www.airbnb.com/rooms/26460519,Extremely Central Guesthouse in Bingin,6056,744,1.0,1.0,1.0,UN1648,PA0000,E0017
,2018-06-30,https://www.airbnb.com/rooms/26458712,"Pretty Room, Short Drive to Padang-Padang Beach",6056,744,1.0,1.0,1.0,UN1652,PA0009,E0017
,2018-06-30,https://www.airbnb.com/rooms/26458263,Dinar Hills - Your Second Home at Pandawa Beach,8126,744,1.0,2.0,0.0,UN0267,PA0008,E0017
,2018-06-30,https://www.airbnb.com/rooms/26457856,Brightly Bungalow at the Heart of Bingin,6056,744,1.0,1.0,1.0,UN1640,PA0009,E0017
,2018-06-30,https://www.airbnb.com/rooms/26454008,Charming Villa with Panoramic Ocean View,6056,744,1.0,1.0,1.0,UN0000,PA0001,E0017
,2018-06-28,https://www.airbnb.com/rooms/26370402,Beachfront Tropical Cabin in Sunrise Spot,6056,744,1.0,2.0,1.0,UN0062,PA0006,E0011
,2018-06-27,https://www.airbnb.com/rooms/26374690,Stay in a Charming Villa Owned by French Designer,6056,744,1.0,1.0,1.0,UN1635,PA0001,E0017
,2018-06-27,https://www.airbnb.com/rooms/26374872,Perfectly Located Bungalow to Enjoy Bali Icon,6056,744,1.0,1.0,1.0,UN1642,PA0012,E0017
,2018-06-27,https://www.airbnb.com/rooms/26372890,Extremely Centre Guesthouse at Bingin,6056,744,1.0,1.0,2.0,UN1647,PA0009,E0017
,2018-06-27,https://www.airbnb.com/rooms/26371745,Lovely Bungalow Next to Cashew Tree Bingin,6056,744,1.0,1.0,1.0,UN1639,PA0007,E0017
,2018-06-27,https://www.airbnb.com/rooms/26369585,Stay in a Beautiful Bungalow at The Bingin Gate,6056,744,1.0,1.0,1.0,UN1638,PA0010,E0017
