unit_id,unit_onboard_date,unit_name,property_id,unit_number_room,unit_swimming_pool,unit_capacity
UN0001,2018-07-02,Omah Cening,PR0005,1.0,3.0,6.0
UN0002,2018-07-02,PinkCoco Gili Air - Suite Del Mar,PR0004,,2.0,2.0
UN0003,2018-07-02,PinkCoco Gili Air - Limas,PR0004,,2.0,2.0
UN0004,2018-07-02,PinkCoco Gili Air - Gladak,PR0004,,2.0,2.0
UN0005,2018-07-02,PinkCoco Gili Air - Grande,PR0004,,2.0,2.0
UN0006,2018-07-02,PinkCoco Gili Air - Cocoon,PR0004,,2.0,2.0
UN0007,2018-07-02,PinkCoco GT - Grand Deluxe Room,PR0003,,2.0,2.0
UN0008,2018-07-02,PinkCoco GT - Deluxe Room,PR0003,,2.0,2.0
UN0009,2018-07-02,PinkCoco Bali - Penthouse,PR0002,,2.0,2.0
UN0010,2018-07-02,PinkCoco Bali - Panoramic,PR0002,,2.0,2.0
UN0011,2018-07-02,PinkCoco Bali - Garden,PR0002,,2.0,2.0
UN0012,2018-07-02,PinkCoco Bali - Deluxe Room,PR0002,,2.0,2.0
UN0013,2018-07-02,PinkCoco Bali - Courtyard,PR0002,,2.0,2.0
UN0014,2018-07-02,Villa Lulu,PR0006,,1.0,2.0
UN0015,2018-06-24,Griya Langen - 6BR,PR0011,6.0,3.0,16.0
UN0016,2018-06-24,Watusaman - Ground Floor 5BR,PR0010,5.0,2.0,12.0
UN0017,2018-06-22,Homestay Tembi - Family Room Bugis,PR0013,1.0,3.0,4.0
UN0018,2018-06-22,Homestay Tembi - Family Room Suyawijaya,PR0013,1.0,3.0,4.0
UN0019,2018-06-22,Homestay Tembi - Family Room Prawiratama,PR0013,1.0,3.0,4.0
UN0020,2018-06-22,Homestay Tembi - Family Room Sadewa,PR0013,1.0,3.0,4.0
UN0021,2018-06-22,Homestay Tembi - Standard Room Jogokarya,PR0013,1.0,3.0,2.0
UN0022,2018-06-22,Homestay Tembi - Standard Room Mangkuyuda,PR0013,1.0,3.0,2.0
UN0023,2018-06-22,Homestay Tembi - Standard Room Brahmana,PR0013,1.0,3.0,2.0
UN0024,2018-06-22,Wisma Eyang Sosro - 3BR,PR0015,3.0,3.0,6.0
UN0025,2018-06-22,Rajaklana - Luxury Stone House,PR0014,1.0,2.0,2.0
UN0026,2018-06-12,Double D - 1,PR0017,1.0,,
UN0027,2018-06-12,Double D - 2,PR0017,1.0,,
UN0028,2018-06-12,Double D - 3,PR0017,1.0,,
UN0029,2018-06-12,Double D - 4,PR0017,1.0,,
UN0030,2018-06-12,Double D - 4br,PR0017,4.0,,
UN0031,2018-06-05,Joglo Agung Standard Room,PR0023,1.0,,
UN0032,2018-06-05,Joglo Agung Family Room A,PR0023,1.0,,
UN0033,2018-06-03,Coffee Network Villa,PR0026,1.0,,
UN0034,2018-06-03,The Miracle Villas,PR0025,2.0,,
UN0035,2018-06-03,Villa Shiva - Serenity,PR0024,2.0,,
UN0036,2018-06-03,Villa Shiva - Bali,PR0024,2.0,,
UN0037,2018-05-31,D'Java Citra Ayu,PR0027,3.0,,
UN0038,2018-05-31,D'Java Omah Sambilegi,PR0028,,,
UN0039,2018-05-02,GK Gamat Garden-1,PR0040,1.0,,
UN0040,2018-05-02,GK Gamat Garden-2,PR0040,1.0,,
UN0041,2018-05-02,GK Gamat Garden-3,PR0040,1.0,,
UN0042,2018-05-02,GK Gamat Garden-4,PR0040,1.0,,
UN0043,2018-05-02,GK Gamat Garden,PR0040,1.0,,
UN0044,2018-05-02,Batan Sabo - 1,PR0039,1.0,,
UN0045,2018-05-02,Batan Sabo - 2,PR0039,1.0,,
UN0046,2018-05-02,Batan Sabo - 3,PR0039,1.0,,
UN0047,2018-05-02,Batan Sabo - 4,PR0039,1.0,,
UN0048,2018-05-02,Batan Sabo - 5,PR0039,1.0,,
UN0049,2018-05-02,Batan Sabo - 6,PR0039,1.0,,
UN0050,2018-05-02,Ayu Laba - Room Bawah #1,PR0037,1.0,,
UN0051,2018-05-02,Ayu Laba - Room Bawah Twin #2,PR0037,1.0,,
UN0052,2018-05-02,Ayu Laba - Room Bawah #3,PR0037,1.0,,
UN0053,2018-05-02,Ayu Laba - Room Bawah #4,PR0037,1.0,,
UN0054,2018-05-02,Ayu Laba - Room Bawah twin #5,PR0037,1.0,,
UN0055,2018-05-02,Ayu Laba - Room Bawah #6,PR0037,1.0,,
UN0056,2018-05-02,Ayu Laba - Lumbung Atas #7,PR0037,1.0,,
UN0057,2018-05-02,Ayu Laba - Lumbung Atas #8,PR0037,1.0,,
UN0058,2018-05-02,Ayu Laba - Lumbung Atas #9,PR0037,1.0,,
UN0059,2018-05-02,Ayu Laba - Lumbung Atas #10,PR0037,1.0,,
UN0060,2018-05-02,Ayu Laba - Rumah Kayu  Bawah  #11,PR0037,1.0,,
UN0061,2018-05-02,Ayu Laba - Rumah Kayu  #12,PR0037,1.0,,
UN0062,2018-05-02,Ayu Laba - Rumah Kayu,PR0037,1.0,,
UN0063,,2l Redsalt Two Lumbungs,PR0255,2.0,,
UN0064,,808 Residence,PR0210,1.0,,
UN0065,,8BR Kakol (the whole villa),PR0160,8.0,,
UN0066,,Agung Homestay - 1,PR0110,1.0,,
UN0067,,Agung Homestay - 2,PR0110,1.0,,
UN0068,,Agung Homestay - 3,PR0110,1.0,,
UN0069,,Ambalama - GV 1,PR0257,1.0,,
UN0070,,Ambalama - GV 2,PR0257,1.0,,
UN0071,,Ambalama - GV 3,PR0257,1.0,,
UN0072,,Ambalama - GV 4,PR0257,1.0,,
UN0073,,Ambalama - LG 7,PR0257,1.0,,
UN0074,,Ambalama - MV 5,PR0257,1.0,,
UN0075,,Ambalama - MV 6,PR0257,1.0,,
UN0076,,Amelle Exc - 1,PR0212,1.0,,
UN0077,,Amelle Exc - 2,PR0212,1.0,,
UN0078,,Amelle Res - 1,PR0212,1.0,,
UN0079,,Amelle Res - 2,PR0212,1.0,,
UN0080,,Amelle Res - 3,PR0212,1.0,,
UN0081,,Amelle Res - 4,PR0212,1.0,,
UN0082,,Amelle Res - 5,PR0212,1.0,,
UN0083,,Amelle Res - 6,PR0212,1.0,,
UN0084,,Amelle Res - 7,PR0212,1.0,,
UN0085,,Amelle Suite - 1,PR0212,1.0,,
UN0086,,Amelle Suite - 2,PR0212,1.0,,
UN0087,,Amelle Suite - 3,PR0212,1.0,,
UN0088,,Amelle Suite - 4,PR0212,1.0,,
UN0089,,Amelle Suite - 5,PR0212,1.0,,
UN0090,,Amelle Villa 1 BR - 1,PR0212,1.0,,
UN0091,,Amelle Villa 1 BR - 2,PR0212,1.0,,
UN0092,,Amelle Villa 2 BR - 1,PR0212,2.0,,
UN0093,,Amelle Villa 2 BR - 2,PR0212,2.0,,
UN0094,,Amelle Villa 2 BR - 3,PR0212,2.0,,
UN0095,,Amelle Villa 2 BR - 4,PR0212,2.0,,
UN0096,,Arca Apartment,PR0162,1.0,,
UN0097,,Arca Bungalow - Standard,PR0162,1.0,,
UN0098,,Arca Bungalow - Suite,PR0162,1.0,,
UN0099,,Arindra 4BR (the whole villa),PR0112,4.0,,
UN0100,,Armaya Homestay - 1,PR0259,1.0,,
UN0101,,Armaya Homestay - 2,PR0259,1.0,,
UN0102,,Armaya Homestay - 3,PR0259,1.0,,
UN0103,,Asri Guest House - 1,PR0214,1.0,,
UN0104,,Asri Guest House - 2,PR0214,1.0,,
UN0105,,Asri Guest House - 3,PR0214,1.0,,
UN0106,,Asri Guest House - 4,PR0214,1.0,,
UN0107,,Asri Guest House - 5,PR0214,1.0,,
UN0108,,Asri Guest House - 6,PR0214,1.0,,
UN0109,,Asri Guest House - 7,PR0214,1.0,,
UN0110,,Avisara,PR0164,1.0,,
UN0111,,Bagong Guesthouse,PR0114,1.0,,
UN0112,,Bagong Guesthouse - 1,PR0114,1.0,,
UN0113,,Bagong Guesthouse - 2,PR0114,1.0,,
UN0114,,Bagong Guesthouse - 2BR,PR0114,2.0,,
UN0115,,Bagong Guesthouse - 3,PR0114,1.0,,
UN0116,,Bagong Guesthouse - 4,PR0114,1.0,,
UN0117,,Bagong Guesthouse - 5,PR0114,1.0,,
UN0118,,Bagong Guesthouse - 6,PR0114,1.0,,
UN0119,,Bagong Guesthouse - 6BR,PR0114,16.0,,
