unit_id,unit_percentage_owner,unit_percentage_bv
UN1669,0.0,0.0
UN0014,0.0,0.0
UN1600,0.0,0.0
UN0464,85.0,15.0
UN0000,85.0,15.0
UN1648,85.0,15.0
UN1652,85.0,15.0
UN0267,85.0,15.0
UN1640,85.0,15.0
UN0000,85.0,15.0
UN0062,80.0,20.0
UN1635,85.0,15.0
UN1642,85.0,15.0
UN1647,85.0,15.0
UN1639,85.0,15.0
UN1638,85.0,15.0
UN1637,85.0,15.0
UN1641,85.0,15.0
UN1636,85.0,15.0
UN0000,85.0,15.0
UN1262,85.0,15.0
UN0052,80.0,20.0
UN0035,85.0,15.0
UN1520,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0385,100.0,0.0
UN0385,100.0,0.0
UN0000,85.0,15.0
UN1633,85.0,15.0
UN0057,80.0,20.0
UN1577,85.0,15.0
UN0052,80.0,20.0
UN0033,85.0,15.0
UN0036,85.0,15.0
UN0050,80.0,20.0
UN1574,85.0,15.0
UN0000,85.0,15.0
UN1604,85.0,15.0
UN0000,85.0,15.0
UN1599,80.0,20.0
UN0385,85.0,15.0
UN1631,85.0,15.0
UN1629,85.0,15.0
UN1628,70.0,30.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN1608,85.0,15.0
UN1459,85.0,15.0
UN1598,85.0,15.0
UN0037,85.0,15.0
UN0376,85.0,15.0
UN0790,85.0,15.0
UN0797,85.0,15.0
UN0034,85.0,15.0
UN0000,85.0,15.0
UN0056,80.0,20.0
UN0947,85.0,15.0
UN0000,85.0,15.0
UN0038,85.0,15.0
UN0786,24165081.0,0.0
UN1137,85.0,15.0
UN0033,85.0,15.0
UN0000,85.0,15.0
UN0703,85.0,15.0
UN0949,85.0,15.0
UN1596,85.0,15.0
UN1597,85.0,15.0
UN1263,85.0,15.0
UN1595,85.0,15.0
UN0000,85.0,15.0
UN0950,85.0,15.0
UN1405,85.0,15.0
UN1198,85.0,15.0
UN0711,85.0,15.0
UN0717,85.0,15.0
UN1547,85.0,15.0
UN1589,85.0,15.0
UN0802,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN1424,85.0,15.0
UN0000,85.0,15.0
UN1442,85.0,15.0
UN1404,85.0,15.0
UN1335,85.0,15.0
UN1590,85.0,15.0
UN1561,85.0,15.0
UN0000,85.0,15.0
UN0463,85.0,15.0
UN1457,85.0,15.0
UN1354,85.0,15.0
UN1408,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN1584,85.0,15.0
UN0000,85.0,15.0
UN1540,85.0,15.0
UN0050,85.0,15.0
UN0682,85.0,15.0
UN0000,85.0,15.0
UN1573,85.0,15.0
UN1576,85.0,15.0
UN1568,85.0,15.0
UN0000,85.0,15.0
UN0332,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0056,85.0,15.0
UN1570,85.0,15.0
UN1383,0.0,0.0
UN1540,85.0,15.0
UN1537,85.0,15.0
UN0366,85.0,15.0
UN0375,85.0,15.0
UN1536,85.0,15.0
UN1261,85.0,15.0
UN1571,85.0,15.0
UN1536,85.0,15.0
UN1196,85.0,15.0
UN1562,85.0,15.0
UN1349,85.0,15.0
UN1539,85.0,15.0
UN0235,85.0,15.0
UN0000,85.0,15.0
UN1545,93.0,7.0
UN0000,85.0,15.0
UN1555,85.0,15.0
UN1549,93.0,7.0
UN1482,85.0,15.0
UN1535,85.0,15.0
UN0230,85.0,15.0
UN0395,85.0,15.0
UN0000,85.0,15.0
UN1539,85.0,15.0
UN1496,85.0,15.0
UN1493,85.0,15.0
UN0231,85.0,15.0
UN1497,85.0,15.0
UN1355,85.0,15.0
UN1489,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN1520,85.0,15.0
UN1280,85.0,15.0
UN1507,85.0,15.0
UN0000,85.0,15.0
