property_id,property_name,property_type,property_status,property_package,property_design,property_proximity,property_life_support,property_service,area_id,employee_id
PR0001,Villa Melasti Ungasan,2,0,0,0,2,2,0,A0011,E0005
PR0002,PinkCoco Bali,5,1,1,0,1,2,1,A0013,E0007
PR0003,PinkCoco Gili Trawangan,5,1,1,0,1,2,1,A0014,E0007
PR0004,PinkCoco Gili Air,5,1,1,0,1,2,1,A0000,E0007
PR0005,Omah Cening,1,1,3,1,2,1,1,A0001,E0000
PR0006,Villa Lulu,1,1,1,0,1,3,2,A0003,E0007
PR0007,Seno Guesthouse,4,1,0,0,0,0,0,A0013,E0017
PR0008,Sinar Sari Bingin,4,1,0,0,0,0,0,A0008,E0017
PR0009,Shankara Guesthouse,4,1,0,0,0,0,0,A0008,E0017
PR0010,Watusaman,5,1,3,1,1,2,1,A0001,E0020
PR0011,Griya Langen,5,1,3,1,1,2,1,A0001,E0020
PR0012,Sesapi Putih,1,1,3,0,0,0,0,A0011,E0000
PR0013,Homestay Tembi,5,1,3,3,1,2,1,A0001,E0020
PR0014,Rajaklana,5,1,3,3,3,3,1,A0001,E0020
PR0015,Wisma Eyang Sosro,5,1,3,5,2,1,1,A0001,E0020
PR0016,Mule Malu,4,1,0,0,0,0,0,A0008,E0011
PR0017,Double D Guest House,4,1,3,0,0,0,0,A0003,E0007
PR0018,Lorong Homestay,4,1,2,0,0,0,0,A0001,E0018
PR0019,Griya Tiyasan,1,1,2,0,0,0,0,A0001,E0018
PR0020,Wabisabi,1,1,2,0,0,0,0,A0001,E0003
PR0021,Sannyas Yoga House,4,1,0,0,0,0,0,A0002,E0017
PR0022,Double D Guesthouse,4,1,3,0,0,0,0,A0003,E0011
PR0023,Joglo Agung,4,1,2,0,0,0,0,A0001,E0020
PR0024,Villa Shiva,2,1,2,0,0,0,0,A0008,E0005
PR0025,The Miracle Villas,2,2,3,0,0,0,0,A0012,E0005
PR0026,Coffee Network,2,1,1,0,0,0,0,A0010,E0007
PR0027,D'Java Citra Ayu,4,2,5,0,0,0,0,A0001,E0020
PR0028,D'Java Omah Sambilegi,4,1,5,0,0,0,0,A0001,E0020
PR0029,Bali Shanti,4,1,3,0,0,0,0,A0003,E0011
PR0030,Cabana Krui Lampung,5,1,0,0,0,0,0,A0005,E0017
PR0031,Le Yanandra,5,1,0,0,0,0,0,A0009,E0000
PR0032,Griya Bausasran 52,4,1,2,0,0,0,0,A0001,E0020
PR0033,Villa Kulat,2,1,0,0,0,0,0,A0002,E0017
PR0034,Pondok Joglo Odit,4,1,0,0,0,0,0,A0003,E0017
PR0035,Bale Tudor,2,1,0,0,0,0,0,A0004,E0011
PR0036,WK Gamat Garden VIlla,4,1,0,0,0,0,0,A0020,E0007
PR0037,Ayu Laba,4,1,5,0,0,0,0,A0020,E0005
PR0038,Summergrass,4,1,5,0,0,0,0,A0001,E0018
PR0039,Batan Sabo,4,1,5,0,0,0,0,A0020,E0005
PR0040,GK Gamat Garden,4,2,5,0,0,0,0,A0020,E0005
PR0041,Posnya Seni Godod,4,1,5,0,0,0,0,A0001,E0003
PR0042,Villa Luna,2,1,5,0,0,0,0,A0011,E0011
PR0043,Little Cabin - The Landmark,3,1,5,0,0,0,0,A0019,E0003
PR0044,Batu Agung Villa,5,1,5,0,0,0,0,A0004,E0007
PR0045,Melin Inn,3,1,5,0,0,0,0,A0015,E0007
PR0046,The Suci Sari,2,1,0,0,0,0,0,A0004,E0006
PR0047,Vinnayaka Guesthouse,4,1,5,0,0,0,0,A0004,E0007
PR0048,Villa Cenik Ubud,4,1,0,0,0,0,0,A0004,E0007
PR0049,Toya Villa Ubud,4,1,0,0,0,0,0,A0004,E0007
PR0050,Villa Casa Mia,2,1,0,0,0,0,0,A0001,E0007
PR0051,Omah JeTeHa,1,1,0,0,0,0,0,A0001,E0007
PR0052,Raka & Rai Guesthouse,4,1,0,0,0,0,0,A0003,E0007
PR0053,William's Place,3,2,0,0,0,0,0,A0018,E0007
PR0054,Puri Casablanca,3,1,5,0,0,0,0,A0005,E0010
PR0055,Griya Wirosaban,4,1,5,0,0,0,0,A0001,E0007
PR0056,Toras Guesthouse,4,1,0,0,0,0,0,A0003,E0004
PR0057,Teges Asri,4,1,5,0,0,0,0,A0008,E0003
PR0058,Tegal Panggung,4,1,0,0,0,0,0,A0001,E0007
PR0059,Griya Asih,4,1,5,0,0,0,0,A0001,E0007
PR0060,Griya Siwi,1,1,5,0,0,0,0,A0001,E0007
PR0061,Rumah Kami,1,1,5,0,0,0,0,A0001,E0007
PR0062,Umah Ucok,4,1,5,0,0,0,0,A0001,E0007
PR0063,Rumah Kemang 50,2,1,5,0,0,0,0,A0005,E0010
PR0064,Jogja Dreams,2,1,5,0,0,0,0,A0001,E0007
PR0065,Pendopo 26,2,1,5,0,0,0,0,A0001,E0003
PR0066,Villa The Cantri,2,1,5,0,0,0,0,A0011,E0010
PR0067,Bamboo Villas,2,1,5,0,0,0,0,A0007,E0003
PR0068,Bali Omah,1,2,5,0,0,0,0,A0001,E0007
PR0069,Roemah Canting,4,1,5,0,0,0,0,A0001,E0007
PR0070,Kubu Pande Homestay,4,1,5,0,0,0,0,A0003,E0010
PR0071,Watusaman Homestay,4,1,0,0,0,0,0,A0001,E0011
PR0072,Villa Rama,2,1,0,0,0,0,0,A0010,E0010
PR0073,Adi Bali Homestay,4,1,0,0,0,0,0,A0013,E0010
PR0074,Villa Rizki,2,1,0,0,0,0,0,A0003,E0007
PR0075,Dago Village,2,2,0,0,0,0,0,A0006,E0010
PR0076,Villa Hali,2,1,0,0,0,0,0,A0011,E0000
PR0077,Villa Siaga Raya 77 Mediapura,2,1,0,0,0,0,0,A0005,E0010
PR0078,The Jarrdin Apartment,3,1,0,0,0,0,0,A0006,E0010
PR0079,Ndalem Kasongan,4,1,0,0,0,0,0,A0001,E0003
PR0080,Vila Lila Loka,4,1,0,0,0,0,0,A0003,E0000
PR0081,Yoga Searcher,5,1,0,0,0,0,0,A0002,E0003
PR0082,Villa Purnama,2,1,0,0,0,0,0,A0003,E0000
PR0083,Villa Karang,2,1,0,0,0,0,0,A0003,E0000
PR0084,VOC,4,1,0,0,0,0,0,A0003,E0000
PR0085,D'Java Timuran,4,1,5,0,0,0,0,A0001,E0003
PR0086,Wiras Village,4,1,0,0,0,0,0,A0003,E0000
PR0087,Villa Vintage 1,2,1,0,0,0,0,0,A0003,E0000
PR0088,Villa Tortoise,2,1,0,0,0,0,0,A0008,E0000
PR0089,Villa Megalan,2,1,0,0,0,0,0,A0009,E0000
PR0090,Villa Shanti,2,1,0,0,0,0,0,A0008,E0000
PR0091,Villa Matahari,2,1,0,0,0,0,0,A0011,E0000
PR0092,Villa Kanha,2,1,0,0,0,0,0,A0010,E0000
PR0093,Villa Istana Willy,2,1,0,0,0,0,0,A0011,E0000
PR0094,Villa Savasana,2,1,0,0,0,0,0,A0003,E0000
PR0095,Villa Sunia,2,0,0,0,0,0,0,A0003,E0000
PR0096,Villa Toya,2,1,0,0,0,0,0,A0009,E0000
PR0097,Villa Merdu,2,1,0,0,0,0,0,A0004,E0000
PR0098,Villa Malindo,2,1,0,0,0,0,0,A0010,E0000
PR0099,Villa Mundaka,2,1,0,0,0,0,0,A0003,E0000
PR0100,Wira Homestay,4,1,0,0,0,0,0,A0008,E0000
PR0101,Villa Idaman,2,1,0,0,0,0,0,A0009,E0000
PR0102,Villa Nazeki,2,1,0,0,0,0,0,A0011,E0000
PR0103,Villa Ganesha,2,1,0,0,0,0,0,A0003,E0000
