unit_id,unit_onboard_date,unit_name,property_id,unit_number_room,unit_swimming_pool,unit_capacity
UN0001,2018-07-02,Omah Cening,Omah Cening,1,3,6
UN0002,2018-07-02,PinkCoco Gili Air - Suite Del Mar,PinkCoco Gili Air,,2,2
UN0003,2018-07-02,PinkCoco Gili Air - Limas,PinkCoco Gili Air,,2,2
UN0004,2018-07-02,PinkCoco Gili Air - Gladak,PinkCoco Gili Air,,2,2
UN0005,2018-07-02,PinkCoco Gili Air - Grande,PinkCoco Gili Air,,2,2
UN0006,2018-07-02,PinkCoco Gili Air - Cocoon,PinkCoco Gili Air,,2,2
UN0007,2018-07-02,PinkCoco GT - Grand Deluxe Room,PinkCoco Gili Trawangan,,2,2
UN0008,2018-07-02,PinkCoco GT - Deluxe Room,PinkCoco Gili Trawangan,,2,2
UN0009,2018-07-02,PinkCoco Bali - Penthouse,PinkCoco Bali,,2,2
UN0010,2018-07-02,PinkCoco Bali - Panoramic,PinkCoco Bali,,2,2
UN0011,2018-07-02,PinkCoco Bali - Garden,PinkCoco Bali,,2,2
UN0012,2018-07-02,PinkCoco Bali - Deluxe Room,PinkCoco Bali,,2,2
UN0013,2018-07-02,PinkCoco Bali - Courtyard,PinkCoco Bali,,2,2
UN0014,2018-07-02,Villa Lulu,Villa Lulu,,1,2
UN0015,2018-06-24,Griya Langen - 6BR,Griya Langen,6,3,16
UN0016,2018-06-24,Watusaman - Ground Floor 5BR,Watusaman,5,2,12
UN0017,2018-06-22,Homestay Tembi - Family Room Bugis,Homestay Tembi,1,3,4
UN0018,2018-06-22,Homestay Tembi - Family Room Suyawijaya,Homestay Tembi,1,3,4
UN0019,2018-06-22,Homestay Tembi - Family Room Prawiratama,Homestay Tembi,1,3,4
UN0020,2018-06-22,Homestay Tembi - Family Room Sadewa,Homestay Tembi,1,3,4
UN0021,2018-06-22,Homestay Tembi - Standard Room Jogokarya,Homestay Tembi,1,3,2
UN0022,2018-06-22,Homestay Tembi - Standard Room Mangkuyuda,Homestay Tembi,1,3,2
UN0023,2018-06-22,Homestay Tembi - Standard Room Brahmana,Homestay Tembi,1,3,2
